country,country_name,income_level_code,Income_Group,complete_years,first_complete_year,last_complete_year,included,coverage_rule
NOR,Norway,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
NPL,Nepal,LMC,Low and Middle Income,20,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
NRU,Naoero,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
NZL,New Zealand,HIC,High Income,8,2013.0,2020.0,False,"at least 15 complete years, 1990-2020"
OMN,Oman,HIC,High Income,19,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
PAK,Pakistan,LMC,Low and Middle Income,18,2003.0,2020.0,True,"at least 15 complete years, 1990-2020"
PAN,Panama,HIC,High Income,18,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
PER,Peru,UMC,Low and Middle Income,9,1996.0,2017.0,False,"at least 15 complete years, 1990-2020"
PHL,Philippines,UMC,Low and Middle Income,20,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
PLW,Palau,HIC,High Income,3,2000.0,2013.0,False,"at least 15 complete years, 1990-2020"
PNG,Papua New Guinea,LMC,Low and Middle Income,2,1996.0,1998.0,False,"at least 15 complete years, 1990-2020"
POL,Poland,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
PRI,Puerto Rico (US),HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
PRK,"Korea, Dem. People's Rep.",LIC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
PRT,Portugal,HIC,High Income,6,2015.0,2020.0,False,"at least 15 complete years, 1990-2020"
PRY,Paraguay,UMC,Low and Middle Income,10,1996.0,2010.0,False,"at least 15 complete years, 1990-2020"
PSE,West Bank and Gaza,LMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
PYF,French Polynesia,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
QAT,Qatar,HIC,High Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
ROU,Romania,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
RUS,Russian Federation,HIC,High Income,21,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
RWA,Rwanda,LIC,Low and Middle Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
SAU,Saudi Arabia,HIC,High Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
SDN,Sudan,LIC,Low and Middle Income,15,2000.0,2015.0,True,"at least 15 complete years, 1990-2020"
SEN,Senegal,LMC,Low and Middle Income,17,2004.0,2020.0,True,"at least 15 complete years, 1990-2020"
SGP,Singapore,HIC,High Income,8,2010.0,2020.0,False,"at least 15 complete years, 1990-2020"
SLB,Solomon Islands,LMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
SLE,Sierra Leone,LIC,Low and Middle Income,2,2000.0,2002.0,False,"at least 15 complete years, 1990-2020"
SLV,El Salvador,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
SMR,San Marino,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
SOM,"Somalia, Fed. Rep.",LIC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
SRB,Serbia,UMC,Low and Middle Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
SSD,South Sudan,LIC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
STP,Sao Tome and Principe,LMC,Low and Middle Income,5,2009.0,2015.0,False,"at least 15 complete years, 1990-2020"
SUR,Suriname,UMC,Low and Middle Income,3,2002.0,2020.0,False,"at least 15 complete years, 1990-2020"
SVK,Slovak Republic,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
SVN,Slovenia,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
SWE,Sweden,HIC,High Income,19,2002.0,2020.0,True,"at least 15 complete years, 1990-2020"
SWZ,Eswatini,LMC,Low and Middle Income,8,1996.0,2013.0,False,"at least 15 complete years, 1990-2020"
SXM,Sint Maarten (Dutch part),HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
SYC,Seychelles,HIC,High Income,10,2011.0,2020.0,False,"at least 15 complete years, 1990-2020"
SYR,Syrian Arab Republic,LIC,Low and Middle Income,15,2002.0,2016.0,True,"at least 15 complete years, 1990-2020"
TCA,Turks and Caicos Islands,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
TCD,Chad,LIC,Low and Middle Income,13,1996.0,2020.0,False,"at least 15 complete years, 1990-2020"
TGO,Togo,LMC,Low and Middle Income,15,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
THA,Thailand,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
TJK,Tajikistan,LMC,Low and Middle Income,18,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
TKM,Turkmenistan,UMC,Low and Middle Income,3,2014.0,2020.0,False,"at least 15 complete years, 1990-2020"
TLS,Timor-Leste,LMC,Low and Middle Income,3,2002.0,2010.0,False,"at least 15 complete years, 1990-2020"
TON,Tonga,UMC,Low and Middle Income,4,2000.0,2020.0,False,"at least 15 complete years, 1990-2020"
TTO,Trinidad and Tobago,HIC,High Income,4,2000.0,2004.0,False,"at least 15 complete years, 1990-2020"
TUN,Tunisia,LMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
TUR,Turkiye,UMC,Low and Middle Income,20,1998.0,2020.0,True,"at least 15 complete years, 1990-2020"
TUV,Tuvalu,UMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
TZA,Tanzania,LMC,Low and Middle Income,17,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
UGA,Uganda,LIC,Low and Middle Income,12,1996.0,2014.0,False,"at least 15 complete years, 1990-2020"
UKR,Ukraine,UMC,Low and Middle Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
URY,Uruguay,HIC,High Income,22,1996.0,2020.0,True,"at least 15 complete years, 1990-2020"
USA,United States,HIC,High Income,11,1996.0,2020.0,False,"at least 15 complete years, 1990-2020"
UZB,Uzbekistan,LMC,Low and Middle Income,20,2000.0,2020.0,True,"at least 15 complete years, 1990-2020"
VCT,St. Vincent and the Grenadines,UMC,Low and Middle Income,11,2010.0,2020.0,False,"at least 15 complete years, 1990-2020"
VEN,"Venezuela, RB",LMC,Low and Middle Income,6,2000.0,2009.0,False,"at least 15 complete years, 1990-2020"
VGB,British Virgin Islands,HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
VIR,Virgin Islands (U.S.),HIC,High Income,0,,,False,"at least 15 complete years, 1990-2020"
VNM,Viet Nam,UMC,Low and Middle Income,19,1996.0,2019.0,True,"at least 15 complete years, 1990-2020"
VUT,Vanuatu,LMC,Low and Middle Income,4,2000.0,2004.0,False,"at least 15 complete years, 1990-2020"
WSM,Samoa,UMC,Low and Middle Income,6,1998.0,2020.0,False,"at least 15 complete years, 1990-2020"
XKX,Kosovo,UMC,Low and Middle Income,0,,,False,"at least 15 complete years, 1990-2020"
YEM,"Yemen, Rep.",LIC,Low and Middle Income,10,2002.0,2011.0,False,"at least 15 complete years, 1990-2020"
ZAF,South Africa,UMC,Low and Middle Income,9,2012.0,2020.0,False,"at least 15 complete years, 1990-2020"
ZMB,Zambia,LMC,Low and Middle Income,3,1998.0,2012.0,False,"at least 15 complete years, 1990-2020"
ZWE,Zimbabwe,LMC,Low and Middle Income,5,2010.0,2015.0,False,"at least 15 complete years, 1990-2020"
