country,year,GDP_per_capita
SAU,2005,21838.191534937399
SAU,2006,21616.335577251601
SAU,2007,21196.7926036633
SAU,2008,21629.840573455102
SAU,2009,20577.545344533599
SAU,2010,21830.1424272816
SAU,2011,23314.5576023168
SAU,2012,23643.035832464699
SAU,2013,23057.349446853499
SAU,2014,23404.730603982502
SAU,2015,23256.1549553531
SAU,2016,22783.032853868499
SAU,2017,23035.1199977707
SAU,2018,24393.518830663801
SAU,2019,24905.6697428558
SAU,2020,22827.671935548002
SDN,1990,764.450439453125
SDN,1991,805.36730957031295
SDN,1992,842.00860595703102
SDN,1993,862.97814941406295
SDN,1994,850.29943847656295
SDN,1995,877.69329833984398
SDN,1996,908.66015625
SDN,1997,1050.31994628906
SDN,1998,1069.27197265625
SDN,1999,1074.88098144531
SDN,2000,1111.11865234375
SDN,2001,1150.17626953125
SDN,2002,1185.21533203125
SDN,2003,1226.42077636719
SDN,2004,1255.67114257813
SDN,2005,1290.24438476563
SDN,2006,1336.1240234375
SDN,2007,1372.10961914063
SDN,2008,1381.62561035156
SDN,2009,1301.34729003906
SDN,2010,1311.22314453125
SDN,2011,1388.21813964844
SDN,2012,1288.25854492188
SDN,2013,1283.45922851563
SDN,2014,1307.3896484375
SDN,2015,1292.37963867188
SDN,2016,1297.15454101563
SDN,2017,1261.87353515625
SDN,2018,1185.94445800781
SDN,2019,1126.55297851563
SDN,2020,1056.86474609375
SEN,1990,990.77752261982198
SEN,1991,988.63221583772997
SEN,1992,974.05486002712803
SEN,1993,960.506561720788
SEN,1994,934.69206807230205
SEN,1995,960.84709282162999
SEN,1996,956.58879120165398
SEN,1997,962.73668945739905
SEN,1998,995.97908568963601
SEN,1999,1033.76396461633
SEN,2000,1048.37474052363
SEN,2001,1067.36886550595
SEN,2002,1042.25509944289
SEN,2003,1074.3857846768601
SEN,2004,1098.2006454602699
SEN,2005,1119.0505307548001
SEN,2006,1118.7830430050999
SEN,2007,1123.9986215328499
SEN,2008,1138.66883930214
SEN,2009,1142.6531723396399
SEN,2010,1153.53431121583
SEN,2011,1139.74447892639
SEN,2012,1154.0567799236701
SEN,2013,1147.3859217191
SEN,2014,1180.7987108504999
SEN,2015,1218.0061355543801
SEN,2016,1257.4090691623801
SEN,2017,1312.10932775878
