country,year,Education_Tertiary
LAO,1990,1.1159199476242101
LAO,1991,
LAO,1992,
LAO,1993,1.3179399967193599
LAO,1994,1.30735003948212
LAO,1995,1.6336599588394201
LAO,1996,2.36982989311218
LAO,1997,2.52199006080627
LAO,1998,2.0058300495147701
LAO,1999,2.3097701072692902
LAO,2000,2.6469199657440199
LAO,2001,3.0471398830413801
LAO,2002,4.0591602325439498
LAO,2003,4.7972598075866699
LAO,2004,5.5794301033020002
LAO,2005,7.6012802124023402
LAO,2006,8.7862596511840803
LAO,2007,11.2626600265503
LAO,2008,13.078300476074199
LAO,2009,16.2123508453369
LAO,2010,16.6638298034668
LAO,2011,17.495469642316099
LAO,2012,17.330766926856001
LAO,2013,18.922444877262102
LAO,2014,18.4954952643985
LAO,2015,18.1574846273063
LAO,2016,17.088071946177099
LAO,2017,15.411257733938401
LAO,2018,14.4969749098337
LAO,2019,13.7404020217342
LAO,2020,12.561911777868
LBN,1990,
LBN,1991,
LBN,1992,23.675479888916001
LBN,1993,
LBN,1994,
LBN,1995,
LBN,1996,21.619470596313501
LBN,1997,
LBN,1998,
LBN,1999,28.091859817504901
LBN,2000,28.109479904174801
LBN,2001,31.808469772338899
LBN,2002,33.239940643310497
LBN,2003,33.000770568847699
LBN,2004,34.897731781005902
LBN,2005,36.915519714355497
LBN,2006,38.105541229247997
LBN,2007,40.491691589355497
LBN,2008,41.774620056152301
LBN,2009,41.896389007568402
LBN,2010,42.177703108324401
LBN,2011,45.535121832399597
LBN,2012,44.932611762118398
LBN,2013,48.308921326346102
LBN,2014,42.935340881347699
LBN,2015,39.2905242294107
LBN,2016,42.507477145690899
LBN,2017,44.1878772500135
LBN,2018,47.2296269060678
LBN,2019,50.148393710421502
LBN,2020,51.567733764394198
LBR,1990,
LBR,1991,
LBR,1992,
LBR,1993,
LBR,1994,
LBR,1995,
LBR,1996,
LBR,1997,
LBR,1998,
LBR,1999,7.7649497985839799
LBR,2000,18.5271492004394
LBR,2001,
LBR,2002,
LBR,2003,
LBR,2004,
LBR,2005,
LBR,2006,
LBR,2007,
LBR,2008,
LBR,2009,
LBR,2010,9.0075300475270303
LBR,2011,
LBR,2012,10.838520055325001
LBR,2013,
LBR,2014,
LBR,2015,
LBR,2016,
LBR,2017,
LBR,2018,
LBR,2019,
LBR,2020,
LBY,1990,11.216500282287599
LBY,1991,
LBY,1992,14.902469635009799
LBY,1993,
LBY,1994,
LBY,1995,
LBY,1996,
LBY,1997,
LBY,1998,
LBY,1999,50.361869812011697
LBY,2000,46.539390563964801
LBY,2001,51.064220428466797
LBY,2002,56.240291595458999
LBY,2003,58.543701171875
LBY,2004,
LBY,2005,
LBY,2006,
LBY,2007,
LBY,2008,
LBY,2009,
LBY,2010,
LBY,2011,
LBY,2012,
LBY,2013,
LBY,2014,
LBY,2015,
LBY,2016,
LBY,2017,
LBY,2018,
LBY,2019,
LBY,2020,
LCA,1990,
LCA,1991,
LCA,1992,
LCA,1993,5.7067899703979501
LCA,1994,
LCA,1995,
LCA,1996,17.305160522460898
LCA,1997,
LCA,1998,
LCA,1999,
LCA,2000,
LCA,2001,
LCA,2002,
LCA,2003,
LCA,2004,13.3422899246216
LCA,2005,12.7918500900269
LCA,2006,9.5215797424316406
LCA,2007,8.4623098373413104
LCA,2008,15.7249202728272
LCA,2009,17.469539642333999
LCA,2010,12.4684000015259
LCA,2011,16.2693996429443
LCA,2012,10.2734699249268
LCA,2013,14.0192003250122
LCA,2014,17.0831794738769
LCA,2015,17.030109405517599
LCA,2016,19.799200057983398
LCA,2017,20.747129440307599
LCA,2018,14.656359672546399
LCA,2019,15.9467096328735
LCA,2020,16.819969177246101
LIE,1990,
LIE,1991,
LIE,1992,
LIE,1993,
LIE,1994,
LIE,1995,
LIE,1996,
LIE,1997,
LIE,1998,
LIE,1999,
LIE,2000,
LIE,2001,
LIE,2002,
LIE,2003,20.7547206878662
LIE,2004,24.606849670410199
LIE,2005,24.477470397949201
LIE,2006,29.81715965271
LIE,2007,31.596239089965799
LIE,2008,36.730949401855497
LIE,2009,34.492221832275398
LIE,2010,36.018310546875
LIE,2011,43.675098419189503
LIE,2012,42.496681213378899
LIE,2013,
LIE,2014,37.4887084960938
LIE,2015,33.542041778564503
LIE,2016,35.022621154785199
LIE,2017,35.6219291687012
LIE,2018,38.300270080566399
LIE,2019,41.165840148925803
LIE,2020,42.598609924316399
